Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2063.939941,2074.570068,2056.169922,2058.939941,2058.939941,145226400
2020-01-03,2072.800049,2077.199951,2063.360107,2076.239990,2076.239990,147427600
2020-01-06,2073.570068,2081.129883,2046.949951,2074.669922,2074.669922,191627600
2020-01-07,2078.090088,2103.209961,2067.620117,2101.879883,2101.879883,216983400
2020-01-08,2085.590088,2099.239990,2069.590088,2095.719971,2095.719971,235146900
2020-01-09,2100.489990,2107.429932,2080.489990,2103.489990,2103.489990,207183400
2020-01-10,2107.770020,2108.929932,2092.949951,2096.649902,2096.649902,164245000
2020-01-13,2097.879883,2118.199951,2092.669922,2114.399902,2114.399902,155664700
2020-01-14,2120.709961,2124.520020,2103.979980,2114.570068,2114.570068,208762600
2020-01-15,2117.050049,2119.850098,2081.229980,2098.590088,2098.590088,200448900
2020-01-16,2097.909912,2106.770020,2083.209961,2104.310059,2104.310059,247834300
2020-01-17,2111.360107,2111.939941,2091.080078,2098.870117,2098.870117,192653400
2020-01-20,2098.870117,2103.419922,2078.340088,2082.610107,2082.610107,187888100
2020-01-21,2081.489990,2082.100098,2070.320068,2071.620117,2071.620117,132175200
2020-01-22,2070.919922,2085.449951,2057.949951,2072.040039,2072.040039,192122200
2020-01-23,2072.669922,2087.689941,2069.949951,2078.820068,2078.820068,159655300
2020-01-24,2074.439941,2076.760010,2059.709961,2063.090088,2063.090088,191226300
2020-01-27,2057.989990,2063.639893,2030.099976,2041.979980,2041.979980,162873500
2020-01-28,2036.310059,2036.310059,2036.310059,2036.310059,2036.310059,0
2020-01-29,2040.510010,2054.300049,2037.560059,2048.899902,2048.899902,152800800
2020-01-30,2029.040039,2029.040039,2029.040039,2029.040039,2029.040039,0
2020-01-31,2039.599976,2039.619995,1985.239990,1986.369995,1986.369995,225318900
2020-02-03,1982.959961,1995.209961,1957.859985,1975.819946,1975.819946,184997600
2020-02-04,1984.939941,1996.640015,1981.239990,1982.589966,1982.589966,184069900
2020-02-05,1986.510010,1995.699951,1973.250000,1994.780029,1994.780029,183547900
2020-02-06,1990.239990,1990.239990,1990.239990,1990.239990,1990.239990,0
2020-02-07,1988.189941,1994.619995,1980.119995,1987.500000,1987.500000,193559000
2020-02-10,1991.770020,1993.420044,1966.130005,1973.229980,1973.229980,180488600
2020-02-11,1968.489990,1968.489990,1968.489990,1968.489990,1968.489990,0
2020-02-12,1959.599976,1960.849976,1915.079956,1920.420044,1920.420044,235014000
2020-02-13,1918.750000,1924.459961,1897.300049,1901.790039,1901.790039,191982800
2020-02-14,1904.709961,1926.290039,1894.199951,1907.569946,1907.569946,121992500
2020-02-17,1907.310059,1912.060059,1894.119995,1905.760010,1905.760010,112906900
2020-02-18,1900.650024,1924.540039,1898.329956,1908.030029,1908.030029,166473300
2020-02-19,1922.010010,1922.010010,1922.010010,1922.010010,1922.010010,0
2020-02-20,1926.849976,1948.380005,1925.619995,1937.530029,1937.530029,181778400
2020-02-21,1937.530029,1939.819946,1907.900024,1911.750000,1911.750000,156383000
2020-02-24,1894.270020,1915.030029,1879.880005,1883.959961,1883.959961,154121000
2020-02-25,1875.469971,1884.160034,1856.170044,1873.359985,1873.359985,176282200
2020-02-26,1862.989990,1870.709961,1841.689941,1843.500000,1843.500000,231159100
2020-02-27,1839.410034,1843.680054,1786.560059,1799.969971,1799.969971,192315600
2020-02-28,1769.699951,1773.770020,1708.160034,1742.939941,1742.939941,260303200
2020-03-02,1743.969971,1780.310059,1719.079956,1729.250000,1729.250000,237665700
2020-03-03,1763.520020,1808.859985,1759.410034,1796.739990,1796.739990,249916400
2020-03-04,1796.869995,1843.359985,1789.790039,1835.050049,1835.050049,200972200
2020-03-05,1847.569946,1867.250000,1830.709961,1837.880005,1837.880005,251824100
2020-03-06,1824.390015,1824.390015,1799.849976,1811.160034,1811.160034,204742800
2020-03-09,1759.180054,1761.800049,1690.349976,1690.349976,1690.349976,229087800
2020-03-10,1688.310059,1751.010010,1688.310059,1727.290039,1727.290039,263473700
