Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,760.580017,772.340027,760.580017,767.489990,767.489990,547003000
2020-07-14,767.489990,780.960022,766.760010,779.250000,779.250000,1029540400
2020-07-15,779.250000,790.650024,776.789978,777.330017,777.330017,653207900
2020-07-16,777.330017,783.809998,774.369995,779.489990,779.489990,871131500
2020-07-17,779.489990,785.400024,778.260010,785.400024,785.400024,355312400
2020-07-20,785.400024,789.809998,775.039978,779.419983,779.419983,447165800
2020-07-21,779.419983,784.090027,773.630005,780.789978,780.789978,646297000
2020-07-22,780.789978,787.039978,773.409973,775.950012,775.950012,463550900
2020-07-23,783.630005,783.630005,783.630005,783.630005,783.630005,0
2020-07-24,783.630005,787.169983,777.150024,778.309998,778.309998,727587400
2020-07-27,778.309998,778.309998,757.169983,761.549988,761.549988,381478000
2020-07-28,761.549988,765.109985,743.770020,750.510010,750.510010,659962700
2020-07-29,751.640015,751.640015,751.640015,751.640015,751.640015,0
2020-07-30,751.640015,762.219971,744.109985,752.080017,752.080017,854717500
2020-08-03,729.440002,729.440002,729.440002,729.440002,729.440002,0
2020-08-04,729.440002,744.750000,728.270020,743.030029,743.030029,550341000
2020-08-05,743.030029,750.239990,737.650024,749.119995,749.119995,725388000
2020-08-06,749.119995,761.450012,749.119995,757.750000,757.750000,620425600
2020-08-07,757.750000,759.280029,744.739990,750.030029,750.030029,510464300
2020-08-10,760.130005,760.130005,760.130005,760.130005,760.130005,0
2020-08-11,764.950012,764.950012,764.950012,764.950012,764.950012,0
2020-08-12,764.500000,764.500000,764.500000,764.500000,764.500000,0
2020-08-13,762.929993,762.929993,762.929993,762.929993,762.929993,0
2020-08-14,762.929993,765.849976,760.080017,764.099976,764.099976,383213300
2020-08-18,764.099976,772.919983,763.690002,771.169983,771.169983,598265300
2020-08-19,771.169983,775.909973,762.729980,762.729980,762.729980,432297700
2020-08-24,762.729980,767.000000,756.190002,758.090027,758.090027,494426300
2020-08-25,758.090027,770.390015,758.090027,765.179993,765.179993,955986600
2020-08-26,765.179993,771.710022,761.700012,762.239990,762.239990,596360500
2020-08-27,762.239990,767.820007,761.429993,767.460022,767.460022,586788500
2020-08-28,767.460022,772.229980,765.200012,769.169983,769.169983,999153500
2020-08-31,769.169983,775.219971,749.809998,760.260010,760.260010,867666300
2020-09-01,760.260010,767.000000,752.650024,767.000000,767.000000,451714300
2020-09-02,767.000000,772.109985,753.559998,753.960022,753.960022,344676800
2020-09-03,753.960022,757.169983,740.880005,745.919983,745.919983,424643300
2020-09-04,745.919983,745.919983,730.210022,732.200012,732.200012,391728800
2020-09-07,732.380005,743.409973,732.200012,743.409973,743.409973,333377500
2020-09-08,743.590027,751.440002,743.590027,746.789978,746.789978,531663900
2020-09-09,744.039978,745.000000,727.429993,729.070007,729.070007,513042300
2020-09-10,721.280029,721.280029,682.940002,688.119995,688.119995,429598800
2020-09-11,668.400024,700.630005,655.580017,700.630005,700.630005,559972700
2020-09-14,707.799988,730.650024,707.799988,730.650024,730.650024,434127900
2020-09-15,731.799988,735.270020,719.830017,720.320007,720.320007,259533900
2020-09-16,721.359985,725.590027,715.010010,725.590027,725.590027,505180600
2020-09-17,724.539978,727.369995,710.739990,714.020020,714.020020,180831000
2020-09-18,713.950012,724.950012,709.090027,724.950012,724.950012,291475600
2020-09-21,723.890015,723.890015,706.710022,709.020020,709.020020,371172900
2020-09-22,699.960022,707.690002,693.219971,702.869995,702.869995,253827000
2020-09-23,706.619995,711.380005,691.900024,701.679993,701.679993,332274600
2020-09-24,697.609985,697.609985,678.210022,692.080017,692.080017,255210700
2020-09-25,695.109985,706.280029,692.159973,706.280029,706.280029,537547200
2020-09-28,709.700012,714.719971,704.830017,704.830017,704.830017,329876400
2020-09-29,706.570007,710.390015,693.000000,696.580017,696.580017,520800500
2020-09-30,697.919983,714.809998,697.919983,709.510010,709.510010,819418100
2020-10-01,713.799988,725.650024,712.590027,725.650024,725.650024,629398100
