Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,890.000000,990.000000,880.000000,955.000000,955.000000,15762200
2020-01-03,975.000000,1000.000000,920.000000,925.000000,925.000000,9951200
2020-01-06,920.000000,935.000000,855.000000,855.000000,855.000000,3979500
2020-01-07,860.000000,910.000000,830.000000,865.000000,865.000000,4712800
2020-01-08,870.000000,885.000000,795.000000,800.000000,800.000000,3537100
2020-01-09,810.000000,905.000000,800.000000,860.000000,860.000000,8064200
2020-01-10,875.000000,880.000000,825.000000,840.000000,840.000000,2146700
2020-01-13,835.000000,840.000000,730.000000,740.000000,740.000000,7999200
2020-01-14,740.000000,740.000000,575.000000,635.000000,635.000000,12240800
2020-01-15,635.000000,640.000000,580.000000,590.000000,590.000000,4646400
2020-01-16,555.000000,735.000000,555.000000,735.000000,735.000000,20692800
2020-01-17,785.000000,850.000000,725.000000,740.000000,740.000000,25162700
2020-01-20,755.000000,785.000000,680.000000,690.000000,690.000000,6080400
2020-01-21,695.000000,755.000000,685.000000,710.000000,710.000000,5133200
2020-01-22,710.000000,725.000000,655.000000,690.000000,690.000000,2673200
2020-01-23,690.000000,845.000000,675.000000,810.000000,810.000000,21283700
2020-01-24,825.000000,930.000000,810.000000,925.000000,925.000000,52374200
2020-01-27,935.000000,995.000000,855.000000,915.000000,915.000000,34167300
2020-01-28,900.000000,950.000000,840.000000,845.000000,845.000000,7665000
2020-01-29,855.000000,895.000000,825.000000,835.000000,835.000000,5413500
2020-01-30,835.000000,860.000000,795.000000,805.000000,805.000000,2653700
2020-01-31,810.000000,900.000000,810.000000,840.000000,840.000000,9557400
2020-02-03,845.000000,860.000000,750.000000,755.000000,755.000000,4488100
2020-02-04,765.000000,810.000000,765.000000,785.000000,785.000000,3662600
2020-02-05,800.000000,815.000000,710.000000,720.000000,720.000000,3780700
2020-02-06,725.000000,825.000000,710.000000,810.000000,810.000000,21842400
2020-02-07,815.000000,830.000000,765.000000,765.000000,765.000000,7983100
2020-02-10,765.000000,780.000000,740.000000,755.000000,755.000000,3710200
2020-02-11,760.000000,785.000000,740.000000,740.000000,740.000000,3423400
2020-02-12,745.000000,760.000000,720.000000,725.000000,725.000000,2219900
2020-02-13,740.000000,745.000000,670.000000,680.000000,680.000000,3647600
2020-02-14,680.000000,715.000000,650.000000,675.000000,675.000000,4253400
2020-02-17,675.000000,695.000000,640.000000,660.000000,660.000000,1898900
2020-02-18,660.000000,680.000000,645.000000,650.000000,650.000000,2523100
2020-02-19,650.000000,725.000000,625.000000,715.000000,715.000000,7726900
2020-02-20,725.000000,735.000000,690.000000,690.000000,690.000000,3430600
2020-02-21,695.000000,695.000000,670.000000,675.000000,675.000000,1116100
2020-02-24,665.000000,675.000000,645.000000,645.000000,645.000000,1248500
2020-02-25,645.000000,670.000000,630.000000,640.000000,640.000000,1806400
2020-02-26,640.000000,645.000000,585.000000,590.000000,590.000000,1673400
2020-02-27,590.000000,620.000000,505.000000,525.000000,525.000000,3735400
2020-02-28,500.000000,525.000000,446.000000,448.000000,448.000000,4153800
2020-03-02,452.000000,560.000000,452.000000,535.000000,535.000000,23057900
