Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,587.119995,594.010010,587.039978,593.049988,593.049988,570924800
2020-05-27,593.049988,598.979980,592.380005,598.979980,598.979980,914404600
2020-05-28,598.979980,603.880005,598.150024,603.880005,603.880005,970696600
2020-05-29,603.880005,606.630005,598.700012,606.630005,606.630005,997285200
2020-06-02,606.630005,613.200012,605.250000,611.580017,611.580017,1011007300
2020-06-03,611.580017,619.640015,611.510010,614.309998,614.309998,1576332600
2020-06-04,614.309998,619.880005,607.590027,608.679993,608.679993,1531930300
2020-06-05,608.679993,615.340027,608.119995,615.340027,615.340027,1415294300
2020-06-08,615.340027,625.640015,615.280029,625.469971,625.469971,2230239700
2020-06-09,625.469971,632.219971,622.450012,623.059998,623.059998,2027687200
2020-06-10,623.059998,625.039978,613.330017,618.530029,618.530029,1514158700
2020-06-11,618.530029,618.530029,605.239990,607.049988,607.049988,911034200
2020-06-12,607.049988,607.049988,594.219971,603.520020,603.520020,1106365400
2020-06-15,603.520020,607.409973,596.270020,598.570007,598.570007,906297400
2020-06-16,598.570007,610.989990,598.539978,608.750000,608.750000,1376509900
2020-06-17,608.750000,617.559998,608.679993,611.719971,611.719971,1334470500
2020-06-18,611.719971,611.719971,606.559998,606.559998,606.559998,1080703800
2020-06-19,606.559998,609.520020,605.530029,606.989990,606.989990,860304200
2020-06-22,606.989990,606.989990,601.239990,602.450012,602.450012,764522600
2020-06-23,602.450012,605.530029,600.859985,601.820007,601.820007,966362000
2020-06-24,610.700012,610.700012,610.700012,610.700012,610.700012,0
2020-06-25,610.700012,610.750000,599.200012,603.390015,603.390015,892761400
2020-06-26,603.390015,607.159973,601.479980,601.479980,601.479980,760561500
2020-06-29,601.479980,603.400024,598.039978,603.400024,603.400024,772804900
2020-06-30,603.400024,607.059998,601.909973,606.140015,606.140015,1125308300
2020-07-01,606.140015,609.140015,603.289978,605.020020,605.020020,1099207000
2020-07-02,605.020020,608.090027,604.250000,605.369995,605.369995,712839300
2020-07-03,605.369995,607.010010,602.859985,605.599976,605.599976,911066600
2020-07-06,605.599976,608.450012,604.020020,606.640015,606.640015,1345500400
2020-07-07,606.640015,608.900024,602.679993,605.830017,605.830017,1250822100
2020-07-08,605.830017,607.960022,603.169983,607.190002,607.190002,908583100
2020-07-09,607.190002,611.419983,605.280029,606.549988,606.549988,1440024900
2020-07-10,606.549988,607.320007,602.159973,603.260010,603.260010,1117880700
2020-07-13,603.260010,607.429993,602.869995,605.700012,605.700012,1473707500
2020-07-14,605.700012,608.739990,604.510010,605.109985,605.109985,799130700
2020-07-15,605.109985,608.289978,603.989990,605.190002,605.190002,1469416600
2020-07-16,605.190002,606.299988,601.380005,603.739990,603.739990,979413100
2020-07-17,603.739990,607.780029,602.530029,607.780029,607.780029,959870000
2020-07-20,607.780029,608.950012,603.919983,603.919983,603.919983,884879400
2020-07-21,603.919983,615.559998,603.830017,613.330017,613.330017,1388600100
2020-07-22,613.330017,619.419983,613.309998,615.349976,615.349976,1237202800
2020-07-23,618.219971,618.219971,618.219971,618.219971,618.219971,0
2020-07-24,618.219971,619.229980,610.640015,612.429993,612.429993,1219022700
2020-07-27,612.429993,622.250000,612.429993,621.710022,621.710022,1492074100
2020-07-28,621.710022,630.059998,621.710022,623.989990,623.989990,1428577300
2020-07-29,623.250000,623.250000,623.250000,623.250000,623.250000,0
2020-07-30,623.250000,624.750000,620.669983,622.989990,622.989990,1066707500
2020-08-03,608.530029,608.530029,608.530029,608.530029,608.530029,0
2020-08-04,608.530029,612.989990,606.679993,611.010010,611.010010,1393497000
2020-08-05,611.010010,617.349976,610.900024,615.710022,615.710022,1352461100
2020-08-06,615.710022,629.109985,615.559998,627.780029,627.780029,1533851700
2020-08-07,627.780029,635.789978,626.719971,635.020020,635.020020,1438705500
2020-08-10,636.359985,636.359985,636.359985,636.359985,636.359985,0
2020-08-11,635.419983,635.419983,635.419983,635.419983,635.419983,0
2020-08-12,637.520020,637.520020,637.520020,637.520020,637.520020,0
2020-08-13,633.770020,633.770020,633.770020,633.770020,633.770020,0
2020-08-14,633.770020,635.130005,626.419983,626.650024,626.650024,1358741600
2020-08-18,626.650024,633.530029,626.109985,632.469971,632.469971,1973579600
2020-08-19,632.469971,635.789978,630.409973,634.039978,634.039978,3094208500
2020-08-24,634.039978,635.780029,628.369995,631.070007,631.070007,4459749700
2020-08-25,631.070007,640.049988,630.960022,639.869995,639.869995,4686191000
2020-08-26,639.869995,640.770020,634.590027,636.900024,636.900024,1799247000
2020-08-27,636.900024,639.820007,636.280029,637.200012,637.200012,1943235500
2020-08-28,637.200012,638.679993,635.179993,637.429993,637.429993,2311569200
2020-08-31,637.429993,640.159973,626.650024,628.750000,628.750000,2649232900
2020-09-01,628.750000,633.440002,626.859985,630.580017,630.580017,1836907000
2020-09-02,630.580017,636.679993,628.489990,636.679993,636.679993,1377264200
2020-09-03,636.679993,639.320007,632.869995,639.320007,639.320007,1718990000
2020-09-04,639.320007,639.320007,630.510010,633.289978,633.289978,1755897800
2020-09-07,632.590027,635.539978,629.570007,635.539978,635.539978,1439839900
2020-09-08,636.400024,637.659973,633.780029,635.580017,635.580017,2050737200
2020-09-09,634.320007,634.320007,624.630005,628.880005,628.880005,2415072900
